ids	Intensity_CL1_S1	Intensity_CL1_S2	Intensity_CL1_S3
	CL1	CL1	CL1
Q9NRJ4	0	2	0
P98196	5	3	4
P98194	0	6	2
P61758	20	18	15
P30613	8	14	8
Q9BT17	2	0	0
Q13671	2	0	0
Q86VY4	2	0	2
P20839	22	9	13
P49674	2	0	0
P51970	14	12	15
Q8WW59	6	0	4
Q6IA17	3	2	0
O95573	72	32	62
Q99856	2	2	3
O95571	10	16	24
Q8WVT3	5	5	0
Q15847	2	0	0
P08758	130	139	121
Q15843	8	18	5
P08754	14	13	11
P14174	120	130	72
Q9BT09	16	9	32
P06576	325	197	265
P51965	5	0	2
Q86VX2	11	0	9
Q86W92	4	6	0
P49662	10	5	10
P55084	30	35	17
Q99848	14	10	6
O95563	2	2	4
P55081	0	2	0
P98179	13	0	12
P98175	7	5	3
Q15836	4	4	4
Q15833	32	15	16
P98170	2	3	3
P39880	11	15	7
Q9UEY8	2	0	4
Q6P4A7	0	0	3
Q9NRG9	23	13	15
Q9NRG7	4	4	4
Q9NRG4	5	4	5
Q9NRG1	4	0	0
P20810	60	115	63
Q9NRG0	0	8	0
P55072	283	298	217
Q99836	4	0	2
Q52LJ0	12	16	12
Q75QN2	0	4	0
Q8WVR3	0	2	0
Q15828	0	2	0
Q99832	136	76	108
P16333	4	0	0
P98160	3	0	6
Q13641	2	5	4
P51948	8	10	8
P51946	2	3	0
Q9NRF9	6	6	4
Q9NRF8	13	16	13
Q53T59	10	14	7
P49643	10	6	9
Q99829	26	18	45
Q9NRF2	2	0	0
P49642	7	4	4
Q09161	35	34	33
Q09160	15	13	9
P55060	316	289	288
Q15819	4	13	7
Q8WVQ1	8	0	2
P08729	654	1031	737
P08727	437	302	494
Q15814	3	6	3
Q15813	10	8	9
Q15811	5	4	4
F8WCM5	0	0	5
Q13637	2	0	0
Q13636	2	0	0
Q9UEW8	3	2	2
Q13630	10	8	12
Q86VU5	2	5	2
Q9BSL1	0	3	2
Q5JVS0	2	0	0
Q99816	25	8	23
Q8WW12	12	4	11
Q13625	7	8	0
Q5QJE6	3	4	2
Q13620	25	33	19
Q86W56	7	4	2
O75976	12	10	5
O75970	4	6	3
Q96GX5	0	3	0
P04350	1238	0	1044
Q99808	3	3	0
Q8IUX4	3	0	0
Q99805	28	16	18
Q6UXV4	8	10	5
Q8WW01	3	0	0
P08708	27	134	40
Q13619	23	22	18
Q13618	21	29	11
Q13617	15	15	9
Q13616	18	8	14
Q9BSJ8	78	82	74
Q13614	0	2	0
Q13613	5	0	2
Q86VS8	2	2	2
Q13610	4	4	3
Q9BSJ2	11	8	5
Q9UEU0	5	0	0
O75964	6	10	7
Q86W42	3	2	2
P55039	5	5	0
Q96GW9	5	5	4
