DATA IN SINGLE CONDITION:
LN1.intensity
% p-value <= 0.05: 7.14285714285714 %
GO_id	GO_term	proteins	Core	p-value	q-value	PES	Number of null distributions inside range
GO:0061621	canonical glycolysis	P00558|P04075|P04406|P06733|P14618	Core not found	0	0	4.08421505968905	9
GO:0005200	structural constituent of cytoskeleton	O00468|P07437|P63261|P68371|Q9Y490	Core not found	0	0	4.40946753120765	4
GO:0007044	cell-substrate junction assembly	P02751|P23229|Q9Y490	Core not found	0	0	2.40458916505112	6
GO:0050776	regulation of immune response	P01024|P05362|P05556	Core not found	0	0	1.92225322624486	8
GO:0051258	protein polymerization	P07437|P68371	Core not found	0	0	1.7715995163713	0
GO:0003725	double-stranded RNA binding	P08195|P08238|P10809|P12814|P60842|P68371|Q00610	Core not found	0	0	5.0960234582021	7
GO:0042220	response to cocaine	P10809|Q16555	Core not found	0	0	1.68783092899604	0
GO:0030204	chondroitin sulfate metabolic process	O00468|P98160	Core not found	0	0	1.12096712303581	0
GO:0043086	negative regulation of catalytic activity	P15559|P07355	Core not found	0	0	1.11890611908578	0
GO:0000287	magnesium ion binding	P06733|P14618	Core not found	0	0	1.72914766110035	0
GO:0016020	membrane	P07910|P62081|P00558|P11413|P17980|Q14152|P09651|P32969|P04075|P25705|Q15758|O14672|P04406|P05023|P05362|P05556|P06576|P06733|P06748|P07355|P07737|P08195|P08238|P08708|P09496|P09758|P10809|P11021|P11142|P13639|P14625|P21796|P22626|P26373|P26641|P35579|P39019|P49327|P60842|P61981|P62263|P62424|P62805|P62917|P62937|P62979|P63261|P68104|P68431|Q00610|Q00839|Q01650|Q03135|Q07065|Q08380|Q13200|Q13753|Q14764|Q14974|Q15233|Q16555|Q9Y230	Core not found	0	0	39.0142160248468	0
GO:0006986	response to unfolded protein	P04792|P08238|P10809|P11142	Core not found	0	0	3.38829799856625	3
GO:0006629	lipid metabolic process	P11413|P25705|P06576	Core not found	0	0	1.941807643739	5
GO:0050821	protein stabilization	P04406|P07737|P10809|P16401	Core not found	0	0	2.90562617550189	6
GO:0007411	axon guidance	O00468|O14672|P05556|P08238|P09496|P11142|P35579|P63261|Q16555|Q9Y490	Core not found	0	0	7.46808735943903	10
GO:0005769	early endosome	P07355|P10809	Core not found	0	0	1.82948070393931	0
GO:0023026	MHC class II protein complex binding	P08238|P11142|P14618	Core not found	0	0	2.48056841568663	3
GO:0031966	mitochondrial membrane	P04083|P06576	Core not found	0	0	1.64848812797683	0
GO:0034389	lipid particle organization	P62937|Q9P2B2	Core not found	0	0	1.76392410365641	0
GO:0043627	response to estrogen	P10809|Q03135	Core not found	0	0	1.19044202268557	0
GO:0006928	movement of cell or subcellular component	P52565|P04083|P04792|P07437|P63261|P68371|Q9Y490	Core not found	0	0	5.42834667235602	9
GO:0043531	ADP binding	P00367|P05023|P14618|P35579|P55072	Core not found	0	0	3.65706959947228	5
GO:0030203	glycosaminoglycan metabolic process	P16070|O00468|P98160	Core not found	0	0	2.01497550177807	5
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	P10809|P55072	Core not found	0	0	1.84607559140254	0
GO:0001895	retina homeostasis	P04792|P63261	Core not found	0	0	1.77155977619545	0
GO:0042288	MHC class I protein binding	P25705|P06576|P07437|P68371	Core not found	0	0	3.47347344119428	8
GO:0032587	ruffle membrane	P05556|P68104|Q9Y490	Core not found	0	0	2.54299744068899	8
GO:0016337	single organismal cell-cell adhesion	P16070|P14923	Core not found	0	0	1.13394209765827	0
GO:0005643	nuclear pore	Q14764|Q14974	Core not found	0	0	1.17851032407239	0
GO:0042267	natural killer cell mediated cytotoxicity	P07437|P68371	Core not found	0	0	1.7715995163713	0
GO:0006754	ATP biosynthetic process	P04075|P25705|P06576|P14618	Core not found	0	0	3.47541562517066	5
GO:0008285	negative regulation of cell proliferation	P06748|P17096|Q16270	Core not found	0	0	2.47211077644091	6
GO:0016887	ATPase activity	P17980|P25705|P06576|P10809|P11021|P11142|P35579|P55072|Q8WXX0|Q9Y230	Core not found	0	0	7.42126670868079	10
GO:0007017	microtubule-based process	P07437|P68371	Core not found	0	0	1.7715995163713	0
GO:0043202	lysosomal lumen	O00468|P98160	Core not found	0	0	1.12096712303581	0
GO:0007603	phototransduction, visible light	O00468|P98160	Core not found	0	0	1.12096712303581	0
GO:0006996	organelle organization	P06576|P07437|P61981|P68371	Core not found	0	0	2.88781302046666	9
GO:0002020	protease binding	P02751|P01034|P05121|P05556|P10809|P26006	Core not found	0	0	4.77181157993408	5
GO:0008284	positive regulation of cell proliferation	P02751|O14672|P01034|P05556|P34897	Core not found	0	0	3.68429616242211	8
GO:0030838	positive regulation of actin filament polymerization	P05362|P07737	Core not found	0	0	1.11398663512273	0
GO:0046718	viral entry into host cell	Q15758|P05362|P05556	Core not found	0	0	2.26925377950907	8
GO:0048146	positive regulation of fibroblast proliferation	P02751|P07355|P14174	Core not found	0	0	1.97304397378259	5

SCC9.intensity
% p-value <= 0.05: 10.8843537414966 %
